t,x,y,z
0,-1,2,0
0.01,-1.00000449999663,2.0029999955,0
0.02,-1.000017999946,2.00599996400006,0
0.03,-1.00004049972663,2.00899987850049,0
0.04,-1.000071999136,2.01199971200207,0
0.05,-1.00011249789064,2.01499943750633,0
0.06,-1.00016199562605,2.01799902801575,0
0.07,-1.00022049189674,2.02099845653403,0
0.08,-1.00028798617627,2.02399769606635,0
0.09,-1.00036447785716,2.02699671961957,0
0.1,-1.00044996625101,2.0299955002025,0
0.11,-1.00054445058842,2.03299401082612,0
0.12,-1.00064793001902,2.03599222450387,0
0.13,-1.00076040361151,2.03899011425184,0
0.14,-1.00088187035362,2.04198765308905,0
0.15,-1.00101232915216,2.04498481403766,0
0.16,-1.00115177883299,2.04798157012325,0
0.17,-1.00130021814106,2.05097789437503,0
0.18,-1.00145764574044,2.05397375982611,0
0.19,-1.00162406021426,2.05696913951371,0
0.2,-1.0017994600648,2.05996400647944,0
0.21,-1.00198384371346,2.06295833376952,0
0.22,-1.00217720950079,2.06595209443502,0
0.23,-1.0023795556865,2.06894526153212,0
0.24,-1.00259088044947,2.07193780812232,0
0.25,-1.00281118188779,2.07492970727274,0
0.26,-1.00304045801874,2.0779209320563,0
0.27,-1.00327870677884,2.080911455552,0
0.28,-1.00352592602385,2.08390125084514,0
0.29,-1.0037821135288,2.08689029102759,0
0.3,-1.00404726698801,2.08987854919801,0
0.31,-1.00432138401508,2.09286599846209,0
0.32,-1.00460446214298,2.09585261193282,0
0.33,-1.00489649882401,2.09883836273068,0
0.34,-1.00519749142982,2.10182322398395,0
0.35,-1.0055074372515,2.10480716882888,0
0.36,-1.00582633349953,2.10779017041001,0
0.37,-1.00615417730385,2.11077220188033,0
0.38,-1.00649096571387,2.11375323640158,0
0.39,-1.00683669569848,2.11673324714447,0
0.4,-1.00719136414613,2.11971220728892,0
0.41,-1.00755496786481,2.12269009002432,0
0.42,-1.00792750358207,2.12566686854973,0
0.43,-1.0083089679451,2.12864251607417,0
0.44,-1.00869935752073,2.13161700581684,0
0.45,-1.00909866879545,2.13459031100735,0
0.46,-1.00950689817546,2.13756240488596,0
0.47,-1.00992404198671,2.14053326070386,0
0.48,-1.01035009647489,2.14350285172336,0
0.49,-1.01078505780552,2.14647115121817,0
0.5,-1.01122892206396,2.1494381324736,0
0.51,-1.01168168525542,2.15240376878685,0
0.52,-1.01214334330505,2.15536803346721,0
0.53,-1.01261389205791,2.15833089983631,0
0.54,-1.01309332727909,2.16129234122839,0
0.55,-1.01358164465365,2.16425233099048,0
0.56,-1.01407883978676,2.1672108424827,0
0.57,-1.01458490820365,2.17016784907847,0
