t,x,y,z
0,0,0,0
0.01,1.446564205e-09,7.7585824e-09,0
0.02,2.241282138e-08,1.222980434e-07,0
0.03,1.098192355e-07,6.099243962e-07,0
0.04,3.357525554e-07,1.898875956e-06,0
0.05,7.925103941e-07,4.56642522e-06,0
0.06,1.587906886e-06,9.326420025e-06,0
0.07,2.840834488e-06,1.701725767e-05,0
0.08,4.677076996e-06,2.859028568e-05,0
0.09,7.225368846e-06,4.509862292e-05,0
0.1,1.061369577e-05,6.768639473e-05,0
0.11,1.496583185e-05,9.757837576e-05,0
0.12,2.039810814e-05,0.0001360700342,0
0.13,2.70164077e-05,0.0001845179711,0
0.14,3.491338244e-05,0.0002443307484,0
0.15,4.416588653e-05,0.0003169600996,0
0.16,5.483262161e-05,0.0004038925164,0
0.17,6.695198886e-05,0.0005066412051,0
0.18,8.054014298e-05,0.0006267384067,0
0.19,9.558924308e-05,0.0007657280741,0
0.2,0.0001120658957,0.0009251589004,0
0.21,0.0001299097848,0.001106577691,0
0.22,0.0001490324843,0.001311523076,0
0.23,0.0001693164473,0.00154151955,0
0.24,0.0001906141679,0.001798071845,0
0.25,0.0002127475108,0.002082659615,0
0.26,0.0002355072027,0.002396732436,0
0.27,0.0002586524813,0.002741705119,0
0.28,0.0002819108978,0.003118953312,0
0.29,0.0003049782657,0.003529809402,0
0.3,0.0003275187532,0.003975558712,0
0.31,0.0003491651134,0.004457435962,0
0.32,0.0003695190469,0.004976622024,0
0.33,0.0003881516931,0.005534240932,0
0.34,0.0004046042432,0.006131357162,0
0.35,0.000418388673,0.006768973162,0
0.36,0.0004289885874,0.007448027142,0
0.37,0.0004358601739,0.008169391096,0
0.38,0.0004384332592,0.008933869069,0
0.39,0.0004361124637,0.00974219565,0
0.4,0.0004282784505,0.0105950347,0
0.41,0.0004142892619,0.01149297826,0
0.42,0.0003934817395,0.01243654577,0
0.43,0.0003651730238,0.01342618333,0
0.44,0.0003286621265,0.01446226335,0
0.45,0.0002832315722,0.01554508422,0
0.46,0.0002281491038,0.01667487028,0
0.47,0.0001626694465,0.01785177197,0
0.48,8.603612617e-05,0.01907586605,0
0.49,-2.516663449e-06,0.02034715609,0
0.5,-0.0001037621492,0.02166557312,0
0.51,-0.0002184790282,0.02303097634,0
0.52,-0.0003474494828,0.0244431541,0
0.53,-0.0004914571665,0.02590182494,0
0.54,-0.0006512851656,0.02740663878,0
0.55,-0.000827713941,0.02895717828,0
0.56,-0.001021519256,0.03055296027,0
